country, size
countries_all, 5780
Sri Lanka, 75576
Romania, 560632
Aruba, 35872
Ukraine, 142503
Bulgaria, 207227
Peru, 106255
Czech Republic, 81881
Sweden, 1968097
Rwanda, 1719
Cameroon, 2565
Azerbaijan, 52086
Spain, 1997999
Republic of Korea, 172774
Afghanistan, 4002
Belarus, 8439
Iceland, 10876
Botswana, 6255
Cambodia, 6373
Saudi Arabia, 245587
Guadeloupe, 607
Slovenia, 56611
Egypt, 107241
Slovak Republic, 36390
Belize, 11117
Uzbekistan, 1903
Zambia, 1595
Poland, 415980
Morocco, 161388
Austria, 100154
American Samoa, 321
Jamaica, 98811
Burkina Faso, 1311
Andorra, 11569
Costa Rica, 9559
Cyprus, 12109
Iraq, 26307
Lebanon, 18871
Kuwait, 33666
China, 162296
Israel, 239884
Guernsey, 2207
Brazil, 660629
Hashemite Kingdom of Jordan, 32285
United Kingdom, 15218674
Lesotho, 31820
Jersey, 6493
Guyana, 386
Monaco, 12827
Vietnam, 67189
Norway, 233814
Maldives, 1954
Grenada, 482
test, 3468
South Africa, 129636
Argentina, 144944
Bangladesh, 133987
Germany, 1930837
Nigeria, 108075
Guatemala, 46631
Ethiopia, 4224
Tanzania, 9173
Serbia, 115699
Antigua and Barbuda, 21661
Australia, 7866672
Mexico, 199723
Ecuador, 271373
Uganda, 5034
Portugal, 104538
Macedonia, 25378
Greece, 384794
Haiti, 6812
Philippines, 1175368
Puerto Rico, 136675
Macao, 205833
Trinidad and Tobago, 9217
Angola, 1015
Laos, 1702
Fiji, 10615
New Zealand, 1123088
Ireland, 462416
Finland, 326668
Malaysia, 340775
Netherlands, 2225415
British Virgin Islands, 4323
Japan, 302258
Libya, 1618
France, 565364
Saint Vincent and the Grenadines, 842
United States, 62565769
Northern Mariana Islands, 601
Gibraltar, 917
Anguilla, 1726
Mongolia, 811
Albania, 107862
Chile, 52999
Ghana, 35873
Uruguay, 2664
Pakistan, 549402
Djibouti, 532
Malta, 477386
Bolivia, 15437
Tunisia, 13051
Faroe Islands, 1536
El Salvador, 5869
Estonia, 169170
Hungary, 102717
Colombia, 147462
Dominican Republic, 19424
Taiwan, 72798
Sudan, 6932
Mauritius, 45743
Kazakhstan, 3146
Panama, 38604
U.S. Virgin Islands, 941
Myanmar [Burma], 733
Kenya, 30988
Sierra Leone, 1881
Syria, 2535
Georgia, 13557
Bahamas, 30073
Palestine, 14947
Nicaragua, 2736
Benin, 316
Saint Lucia, 364
Isle of Man, 6695
Bermuda, 3872
Curaçao, 707
Barbados, 4866
Honduras, 26685
Canada, 7598332
Kyrgyzstan, 575
Armenia, 11692
Latvia, 19198
São Tomé and Príncipe, 44698
Congo, 7457
Croatia, 32441
Saint Kitts and Nevis, 2834
Singapore, 512575
Brunei, 39268
Luxembourg, 177580
Bosnia and Herzegovina, 169805
Turkey, 544027
Denmark, 219810
Solomon Islands, 8560
Russia, 189519
Thailand, 491918
Namibia, 1728
United Arab Emirates, 100515
Iran, 96155
Bahrain, 30150
Montenegro, 3803
Yemen, 27956
Réunion, 3869
Paraguay, 9278
Dominica, 428
Republic of Moldova, 37198
Qatar, 87467
Oman, 9347
Nepal, 37336
Switzerland, 250537
Indonesia, 194555
Venezuela, 104259
Algeria, 96856
Italy, 500691
Hong Kong, 342317
Belgium, 472645
India, 2610704
Republic of Lithuania, 28828
